                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0351,                 1.6893,                0.97827,                0.59032,                0.43656,                0.45888,                0.33219,                0.94052,                 1.1343,                0.93189,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.0325,                 1.1529,                0.97635,                 0.5926,                0.50514,                0.53291,                0.37886,                0.99784,                0.97405,                0.94337,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.0324,                 1.0976,                0.98235,                0.48021,                0.48686,                0.46845,                0.33844,                0.96638,                 1.2953,                0.93067,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.0147,                 1.0216,                0.96843,                0.68172,                 0.5313,                0.58528,                 0.4322,                0.94226,                0.86273,                0.94524,             0.00048995,             0.00048995,             0.00048995
